dependencia_origen,clave,nombre_oficial,descripcion,tramite_o_servicio,tipos_atencion_ids
Desarrollo urbano,SDUM-DOT-008,Permiso de Anuncio Temporal,"Es el documento mediante el cual se autoriza la instalación y exhibición de anuncios de carácter temporal, con el fin de difundir eventos, promociones, actividades comerciales o de servicio por un periodo determinado.",TRUE,0
Desarrollo urbano,SDUM-DOT-009,Licencia para instalar anuncios,"Es la autorización para la instalación de anuncios visibles desde la vía pública, ya sean comerciales, informativos o de servicio, evitando riesgos estructurales, contaminación visual y afectaciones al entorno urbano.",TRUE,0
Desarrollo urbano,SDUM-DOT-010,Refrendo de Licencia de anuncios,Es la renovación de la vigencia de la licencia otorgada para la instalación y permanencia de anuncios visibles desde la vía pública.,TRUE,0
Desarrollo urbano,SDUM-DOT-011,Reconocimiento de vialidad,"Trámite mediante el cual se determina, valida y reconoce la existencia, trazo, continuidad y características de una vialidad dentro del territorio municipal.",TRUE,0
Desarrollo urbano,SDUM-DOT-012,Restricción de estacionamiento,"Se refiere a la limitación del estacionamiento de vehículos en un área específica de la vía pública o frente a un inmueble, con el fin de mejorar la movilidad, garantizar la seguridad vial y mantener el orden urbano.",TRUE,0
Desarrollo urbano,SDUM-DOT-013,Cierre vial,"Es el permiso para la suspensión temporal de la circulación vehicular en una vía pública específica, con motivo de la realización de eventos, obras, trabajos de mantenimiento o situaciones especiales que así lo requieran.",TRUE,0
Desarrollo urbano,SDUM-DOT-014,Reductores de velocidad,"Es la autorización mediante evaluación previa para la instalación de reductores de velocidad en la vía pública, con el fin de disminuir la velocidad vehicular en zonas específicas y prevenir accidentes de tránsito.",TRUE,0
Desarrollo urbano,SDUM-DCU-001,Licencia de Construcción de Ampliación y/o Adaptación de Losa Menor de 40 m2.,"Es la autorización para la ejecución de obras de ampliación o adaptación consistentes en la construcción de losa en edificaciones existentes, cuando la superficie a intervenir sea menor a 40 metros cuadrados.",TRUE,0|2
Desarrollo urbano,SDUM-DCU-002,Aviso de Terminación de Obra.,"Documento mediante el cual el propietario o responsable de una construcción informa a la autoridad municipal competente la conclusión de una obra previamente autorizada mediante licencia de construcción, con el fin de que sea registrada como terminada en los archivos correspondientes.",TRUE,0|2
Desarrollo urbano,SDUM-DCU-003,Remodelación en un Área Mayor de 100 m2.,"Es la autorización para la ejecución de trabajos de remodelación, adecuación o modificación en edificaciones existentes, cuando el área a intervenir sea mayor a 100 metros cuadrados.",TRUE,0|2
Desarrollo urbano,SDUM-DCU-004,Actualización de la Licencia de Construcción,"Es la actualización de la vigencia, modificación, corrección o ajuste de una licencia de construcción previamente otorgada.",TRUE,0|2
Desarrollo urbano,SDUM-DCU-005,Registro como Director Responsable de Obra.,Procedimiento administrativo de renovación mediante el cual una persona profesionista se hace responsable de la observancia y la aplicación de la normativa en las obras para las que otorgue su responsiva.,TRUE,0|2
Desarrollo urbano,SDUM-DCU-006,Licencia de regularización de construcción.,"Cuando se demuestre que la obra cumple con este reglamento y demás ordenamientos legales respectivos, así como las disposiciones del programa; la Secretaría, podrá conceder la Licencia de Regularización de Construcción",TRUE,0|2
Desarrollo urbano,SDUM-DCU-007,Licencia de Construcción de obra nueva Mayor de 40 m2.,Es la autorización para la ejecución de obras nuevas mayores a 40m2,TRUE,0|2
Desarrollo urbano,SDUM-DCU-008,Revalidación como Director Responsable de Obra.,Procedimiento administrativo de renovación mediante el cual una persona profesionista se hace responsable de la observancia y la aplicación de la normativa en las obras para las que otorgue su responsiva.,TRUE,0|2
Desarrollo urbano,SDUM-DCU-009,Constancia de Alineamiento y Número Oficial.,"La constancia de Alineamiento y Número oficial es el documento que acredita el número oficial y las medidas con respecto al eje de la calle al límite del predio, que le corresponderá a cada predio que tenga frente a la vía pública",TRUE,0|2
Desarrollo urbano,SDUM-DCU-010,Permiso de Relleno de Terreno.,Permiso para rellenar un terreno,TRUE,0|2
Desarrollo urbano,SDUM-DCU-011,Permiso de Excavación y/o Corte de Terreno.,Permiso de Excavación y/o Corte de Terreno.,TRUE,0|2
Desarrollo urbano,SDUM-DCU-012,Licencia de Construcción de Ampliación y/o Adaptación de Losa Mayor de 40 m2.,Licencia de Construcción de Ampliación y/o Adaptación de Losa Mayor de 40 m2.,TRUE,0|2
Desarrollo urbano,SDUM-DCU-013,Permiso de Ruptura de Banqueta y Calle para canalizado/suministro de Cableados Subterráneos.,Permiso de Ruptura de Banqueta y Calle para canalizado/suministro de Cableados Subterráneos.,TRUE,0|2
Desarrollo urbano,SDUM-DCU-014,Permiso de Demolición.,Permiso de Demolición.,TRUE,0|2
Desarrollo urbano,SDUM-DCU-015,Licencia de Construcción de obra menor de 40 m2.,Licencia de Construcción de obra menor de 40 m2.,TRUE,0|2
Desarrollo urbano,SDUM-DCU-016,Permiso de ocupación de la vía pública con material de constrcción y andamios y/o tapiales,Permiso de ocupación de la vía pública con material de constrcción y andamios y/o tapiales,TRUE,0|2
Medio Ambiente,SMAyM-DPyC-01,Dictamen Ambiental,"Es la opinion técnica que emite la Secretaría de Medio Ambiente y Movilidad Urbana, en la cual se establecen las obligaciones inherentes a una superficie, predio y territorio, así como las consideraciones necesarias para regular y vigilar las actividades productivas y usos de suelo, atendiendo lo señalado en el Ordenamiento Ecológico Municipal, las Declaratorias de Áreas Naturales Protegidas y demás disposiciones legales aplicables.",TRUE,0
Medio Ambiente,SMAyM-DPyC-02,Dictamen Técnico de Regulación de Contaminación Visual,"Es la opinión técnica que emite la Secretaría de Medio Ambiente y Movilidad Urbana respecto a la saturación de anuncios existentes en la Ciudad; y de esta forma, determina procedente o no, la instalación de nuevos anuncios a través del dictamen de Regulación de anuncios.",TRUE,0
Medio Ambiente,SMAyM-DJA-03,Autorización de Poda,"Evaluacion y en su caso autorizacion de trabajos de poda en el arbolado urbano dentro del municipio, con el propósito de garantizar su conservación, manejo adecuado y la protección del equilibrio ecológico. se verifica el cumplimiento técnicos y ambientales, para prevenir riesgos a la población, evitar daños a la infraestructura y asegurar la salud y estabilidad de los árboles.",TRUE,0
Medio Ambiente,SMAyMU -DJA-004,Autorización de Derribo,"Es el procedimiento que evalúa y en su caso, autoriza la remoción o derribo de árboles dentro del municipio con el propósito de regular su aprovechamiento. Garantiza la protección del medio ambiente, evitando riesgo a la población, afectaciones de infraestructura, condiciones fitosanitarias adversas, asegurando el cumplimiento técnicos y ambientales, como medidas de mitigación, compensación o restitución",TRUE,0
Medio Ambiente,SMAyM-DJA-05,Dictamen de Sonido,"Es un instrumento jurídico, técnico, que ordenan los límites máximos permitidos de decibeles emitidos por una fuente fija (establecimiento, industria, maquinaria o casa habitación) con base en los parámetros establecidos en la Norma Oficial Mexicana NOM-081-SEMARNAT-1994, para evitar que las actividades que se lleven a cabo no sean ruidosas.",TRUE,0
sindicatura,SIN-DPyO-001,Inscripción al registro de contratistas de obras públicas,Registro para Concurso de Obra Civil,TRUE,0|2
Secretaria de la mujer,SIM-001,"Atención Integral para mujeres; asesoría jurídica, atención médica de primer contacto, psicología y de trabajo social","Es el asesoramiento y/o acompañamiento jurídico, atención médica, psicología y de servicio social, que brinda la Secretaría a las mujeres, para defender su derecho a vivir una vida libre de violencia.",TRUE,0
