dependencia_origen,clave,nombre_oficial,descripcion,tramite_o_servicio,tipos_atencion_ids
SEC SALUD,SS-DCDM-024,Suturas,"El servicio consiste en la valoración de la herida, limpieza y desinfección de la zona, aplicación de anestesia local en caso necesario y la colocación de puntos mediante técnicas adecuadas, dependiendo del tipo, tamaño y profundidad de la lesión.",TRUE,0
SEC SALUD,SS-DCDM-025,Aplicación de Medicamento Intravenoso,"Es el procedimiento mediante el cual se administra un medicamento directamente al torrente sanguíneo a través de una vía intravenosa, con el objetivo de lograr una acción rápida y eficaz en el organismo.",TRUE,0
SEC SALUD,SS-DCDM-026,Curaciones,"Es el procedimiento de atención médica que consiste en la limpieza, desinfección y cuidado de heridas, con el objetivo de prevenir infecciones, favorecer la cicatrización y mantener en condiciones óptimas el tejido afectado.",TRUE,0
SEC SALUD,SS-DCDM-027,Retiro de Dispositivo intrauterino,"extracción de un dispositivo intrauterino (DIU) previamente colocado en el útero, ya sea por término de su periodo de efectividad, decisión de la paciente o indicación médica.",TRUE,0
SEC SALUD,SS-DRS-001,Refrendo de Tarjeta de Vigilancia Sanitaria para la manipulación de alimentos y bebidas preparadas en vía pública,"Es el trámite mediante el cual se renueva la vigencia de la Tarjeta de Vigilancia Sanitaria otorgada a las personas que se dedican a la preparación, manipulación y venta de alimentos y bebidas en la vía pública, con el fin de garantizar que continúan cumpliendo con las disposiciones sanitarias aplicables.",TRUE,0
SEC SALUD,SS-DRS-002,Expedición de Tarjeta de Vigilancia Sanitaria para la manipulación de Alimentos y Bebidas preparadas en Vía Pública,"Es el trámite mediante el cual la autoridad sanitaria municipal expide un documento oficial que acredita que una persona está autorizada para la preparación, manipulación y venta de alimentos y bebidas en la vía pública, cumpliendo con las condiciones básicas de higiene y salud establecidas por la normatividad aplicable.",TRUE,0
SEC SALUD,SS-DRS-003,"Refrendo de Tarjeta de Vigilancia Sanitaria para establecimientos con giros de videojuegos, juegos electrónicos, billares, juegos de mesa y similares del Municipio de Tuxtla Gutiérrez","Actualizar la tarjeta de vigilancia para el funcionamiento de establecimientos que ofrecen el servicio de Juegos Electrónicos, Vídeo Juegos, Billares, Boliches, Juegos de Mesa y similares, para reducir sus efectos nocivos en el desarrollo mental y social de la población en general.",TRUE,0
SEC SALUD,SS-DRS-004,"Expedición de Tarjeta de Vigilancia Sanitaria para establecimientos con giros de videojuegos, juegos electrónicos, billares, juegos de mesa y similares del Municipio de Tuxtla Gutiérrez","Regular el funcionamiento de establecimientos que ofrecen el servicio de Juegos Electrónicos, Vídeo Juegos, Billares, Boliches, Juegos de Mesa y similares, para reducir sus efectos nocivos en el desarrollo mental y social de la población en general.",TRUE,0
SEC SALUD,SS-DRS-005,"Refrendo de Tarjeta Sanitaria para Consultorios, Clínicas, Hospitales Veterinarios, Cría y/o venta de animales, Estéticas Caninas, pensión para mascotas y escuelas de adiestramiento canino..","Renovación de la vigencia de la Tarjeta Sanitaria otorgada a establecimientos dedicados a la atención, manejo, cría, venta o cuidado de animales, con el propósito de asegurar la continuidad del cumplimiento de las disposiciones de higiene, sanidad y bienestar animal establecidas por la autoridad competente.",TRUE,0
SEC SALUD,SS-DRS-006,"Expedición de Tarjeta Sanitaria a Clínicas, Consultorios, Hospitales Veterinarios; cría y/o venta de animales, estéticas caninas, pensión para mascotas y escuelas de adiestramiento canino","Expedición del documento oficial que acredita el cumplimiento de las condiciones básicas de higiene, sanidad y bienestar animal en establecimientos dedicados a la atención, manejo, crianza, venta o cuidado de animales.",TRUE,0
TRANSPARENCIA,CGUT-001,Solicitud de acceso a la información pública,"Trámite mediante el cual cualquier persona puede solicitar ante el sujeto obligado la entrega de información pública generada, obtenida, adquirida, transformada o en posesión de las autoridades municipales, sin necesidad de acreditar interés jurídico ni justificar la solicitud.",TRUE,0|2
Instituto de la Juventud,INJUVE-001,"TALLERES, PLÁTICAS Y CAPACITACIONES EDUCATIVAS, CULTURALES Y DE EMPRENDIMIENTO","IMPLEMENTACIÓN DE DIVERSOS TALLERES, PLÁTICAS Y CAPACITACIONES EDUCATIVAS GRATUITAS PARA EL DESARROLLO DE LOS JÓVENES TUXTLECOS",TRUE,0|2
Indetux,INDETUX-001,AUTORIZACIÓN PARA EL USO DE INSTALACIONES DEPORTIVAS O RECREATIVAS MUNICIPALES,Es la autorización que otorga el Ayuntamiento Municipal de Tuxtla Gutiérrez a través del Instituto del Deporte Tuxtleco Municipal; para el uso de alguna instalacion o espacio deportivo o recreativo municipal.,TRUE,0
Indetux,INDETUX-002,"PERMISO PARA LA REALIZACIÓN DE CARRERAS ATLETICAS Y DIVERSOS EVENTOS DEPORTIVOS (RODADA CICLISTA, FUNCION DE BOX O LUCHA LIBRE)","Es la solicitud poder realizar una carrera atlética en las diversas rutas, o diversos eventos deportivos (rodada ciclista, funcion de box o lucha libre) dentro del municipio de Tuxtla Gutiérrez a través del Instituto del Deporte Tuxtleco Municipal.",TRUE,0
ITAC,ITAC-001,Servicio de Acceso a Bibliotecas,Servicio gratuito orientado a toda la población que permite la consulta física del acervo bibliográfico y la colección general dentro de las instalaciones de las Bibliotecas Públicas Municipales. El acceso está sujeto al cumplimiento del reglamento interno de la Red de Bibliotecas y se brinda de acuerdo con los horarios de operación establecidos para cada unidad bibliotecaria,TRUE,0
ITAC,ITAC-002,Asignación de Espacios Culturales,"Gestión y asignación de recintos culturales en la Casa de la Cultura Luis Alaminos Guerrero (Sala de Exposiciones y Salón de Usos Múltiples 'José Luis Castro Aguilar') para la ejecución de eventos artísticos y académicos. El servicio está disponible para la ciudadanía e instituciones en general, sujeto a la disponibilidad de la agenda oficial y bajo el compromiso del solicitante de preservar la integridad física del inmueble y el mobiliario asignado.""",TRUE,0
ITAC,ITAC-003,Talleres artísticos en la Casa de la Cultura Luis Alaminos Guerrero,"Oferta formativa consistente en la impartición de disciplinas artísticas y talleres de iniciación cultural en las instalaciones de la Casa de la Cultura Luis Alaminos Guerrero. El servicio está orientado a la capacitación técnica y recreativa de la ciudadanía en diversas ramas de las artes, bajo un calendario de ciclos específicos, requiriendo el cumplimiento de los requisitos de inscripción y el respeto a los reglamentos escolares vigentes de la institución",TRUE,0
SMAPA,SMAPA-DT-001,"Contratación de los servicios de agua potable y/o alcantarillado sanitario para uso comercial, industrial u oficial","Proporcionar el servicio de agua potable, alcantarillado a toda persona física o moral para comercios, industrias o instalaciones oficiales dentro del Municipio de Tuxtla Gutiérrez Chiapas",TRUE,0|2
SMAPA,SMAPA-DT-002,Contratación de los servicios de agua potable y/o alcantarillado sanitario para desarrollos habitacionales,"Proporcionar el servicio de agua potable, alcantarillado a toda persona física o moral para desarrollos habitacionales dentro del Municipio de Tuxtla Gutiérrez Chiapas",TRUE,0|2
SMAPA,SMAPA-DT-003,"Constancia de los servicios de agua potable, alcantarillado sanitario y saneamiento","Documento oficial para toda persona física o moral, en el cual hace constar al solicitante si es factible o no proporcionarle servicio de agua potable y alcantarillado sanitario, para un predio determinado, considerando la cobertura actual",TRUE,0|2
SMAPA,SMAPA-DT-004,"Dictamen de factibilidad de servicios de agua potable, alcantarillado sanitario y saneamiento para giros comerciales, industriales u oficiales","Documento oficial para toda persona física o moral, que lleve a cabo la construcción, ampliación o remodelación de edificios gubernamentales, instalaciones comerciales o fabricas que requieran el servicio de agua potable y alcantarilladlo.",TRUE,0|2
SMAPA,SMAPA-DT-005,"Dictamen de factibilidad de servicios de agua potable, alcantarillado sanitario y saneamiento para desarrollos habitacionales","Documento oficial para toda persona física o moral, que lleve a cabo la construcción, ampliación o remodelación de desarrollos habitacionales que requieran el servicio de agua potable y alcantarilladlo.",TRUE,0|2
SMAPA,SMAPA-DT-006,Validación de proyectos ejecutivos,"Es la revisión y aprobación técnica, obligatoria y vinculante, que emite el SMAPA, antes de iniciar la obra civil que certifica que el diseño hidráulico cumple con la normatividad técnica vigente",TRUE,0
SMAPA,SMAPA-DT-007,Verificación de infraestructura hidrosanitaria,"Inspeccionar, probar y validar técnicamente la red de agua potable y alcantarillado.",TRUE,0
SMAPA,SMAPA-DT-008,Registro al padrón de contratistas,"Registro para personas físicas o morales que permite acreditar la capacidad técnica, legal y financiera, para ejecutar obras u ordenes de trabajo asignadas por el SMAPA",TRUE,0
SMAPA,SMAPA-DC-001,Constancia de no adeudo y antigüedad,"Documento oficial para toda persona física o moral, en el cual hace constar al solicitante la antigüedad de la cuenta o la relación de pagos",TRUE,0
SMAPA,SMAPA-DC-002,Aforo y/o cambio de aparato de medidor,Revisión física o cambio del instrumento de medición a solicitud del usuario,TRUE,0
SMAPA,SMAPA-DC-003,"Contratación de los servicios de agua potable y alcantarillado sanitario, para uso doméstico","Proporcionar el servicio de agua potable, alcantarillado a toda persona física para servicio doméstico dentro del Municipio de Tuxtla Gutiérrez Chiapas",TRUE,0
SMAPA,SMAPA-DS-001,Registro y permiso para descarga de aguas residuales en giros no domésticos.,Autorización para descargar aguas residuales no domésticas,TRUE,0
Servicios municipales,SSM-DAP-001,Constancia de factibilidad de alumbrado público,Es el documento técnico oficial emitido por la dirección de alumbrado público que certifica que el proyecto de presentado cumple con la normatividad vigente,TRUE,0
Servicios municipales,SSM-DAP-002,Constancia de funcionalidad de alumbrado público,"Es el documento oficial emitido por la dirección de alumbrado público que certifica que el sistema de alumbrado público instalado, cumple con lo autorizado en la constancia de factibilidad",TRUE,0
Servicios municipales,SSM-DAP-003,Reubicación de poste.,Se refiere a la solicitud que hace un particular para recorrer un poste a alumbrado público,TRUE,0
Servicios municipales,SSM-DMP-001,Permiso de inhumación,Es la autorización para sepultar un cadáver en cualquiera de los panteones municipales.,TRUE,0
Servicios municipales,SSM-DMP-002,Permiso de exhumación,Es la autorización para exhumar un cadáver en cualquiera de los panteones municipales.,TRUE,0
Servicios municipales,SSM-DMP-003,De la transmisión de derechos por muerte o incapacidad física o mental permanente del titular del derecho de uso mortuorio,Es la autorización del cambio de titular del derecho de uso mortuorio por alguna de las causas indicadas,TRUE,0
Servicios municipales,SSM-DMP-004,Pagos extemporáneos derecho de uso mortuorio.,Es la regularización que hacen los contribuyentes por pagos de derecho de uso mortuorio.,TRUE,0
Servicios municipales,SSM-DMP-005,Permiso de construcción,"Es la autorización para realizar construcción de tanques o gavetas, rehabilitación o adecuación del mismo.",TRUE,0
Servicios municipales,SSM-DMP-06,Del traslado de cadáveres y restos humanaos áridos,"Es la autorización para mover un cadáver, de un lugar a otro dentro del mismo panteón o de un panteón a otro, dentro del municipio.",TRUE,0
Servicios municipales,SSM-DMP-007,Cambio de concesionario en los mercados públicos municipales,Es la autorización para realizar el traspaso o cesión de derechos para ejercer el comercio en un local ubicado en alguno de los mercados municipales.,TRUE,0
Servicios municipales,SSM-DMP-008,Permiso o concesión de locales en los mercados públicos municipales.,Es la autorización del gobierno municipal para ocupar un local comercial en cualquier mercado municipal.,TRUE,0
